frame,detections,latency_ms,fps_instant,fps_avg
0,0,37.6,26.6,22.9
1,0,50.3,23.2,26.0
2,0,65.8,20.5,31.1
3,0,79.3,18.6,35.2
4,0,92.4,17.0,38.1
5,0,106.0,15.8,39.9
6,0,120.9,14.7,41.1
7,0,132.2,13.8,42.8
8,0,145.9,13.0,44.0
9,0,157.2,12.4,45.3
10,0,168.4,11.8,46.4
11,0,180.1,11.3,47.5
12,0,191.8,10.8,48.4
13,0,202.0,10.4,49.1
14,0,213.8,10.0,49.7
15,0,224.7,9.6,50.6
16,0,235.2,9.3,51.3
17,0,245.1,9.0,52.0
18,0,255.2,8.8,52.7
19,0,266.6,8.5,53.2
20,0,276.5,8.3,53.7
21,0,287.4,8.1,54.3
22,0,298.5,7.9,54.7
23,0,309.9,7.7,55.1
24,0,320.0,7.5,55.5
25,0,331.7,7.3,55.7
26,0,342.7,7.2,56.1
27,0,354.9,7.0,56.3
28,0,365.1,6.8,56.6
29,0,375.0,6.7,56.9
30,0,383.5,5.9,57.1
31,0,401.7,5.3,56.7
32,0,414.2,4.9,56.8
33,0,425.4,4.6,57.1
34,0,436.7,4.3,57.3
35,0,448.6,4.0,57.4
36,0,461.1,3.8,57.5
37,0,472.3,3.7,57.6
38,0,483.7,3.5,57.8
39,0,494.8,3.3,57.9
40,0,506.3,3.2,58.1
41,0,516.5,3.1,58.3
42,0,526.7,3.0,58.4
43,0,526.8,2.9,58.5
44,0,527.9,2.8,58.5
45,0,528.5,2.7,58.6
46,0,526.4,2.6,58.7
47,0,527.0,2.6,58.8
48,0,525.4,2.5,59.0
49,0,526.4,2.4,59.0
50,0,526.8,2.4,59.1
51,0,527.7,2.3,59.3
52,0,528.3,2.3,59.4
53,0,527.1,2.2,59.5
54,0,527.8,2.2,59.6
55,0,526.7,2.1,59.8
56,0,527.5,2.1,59.9
57,0,526.6,2.1,60.0
58,0,527.2,2.1,60.0
59,0,528.1,2.0,60.1
60,0,527.9,2.0,60.2
61,0,535.8,2.0,59.8
62,0,537.2,2.0,59.8
63,0,536.8,1.9,59.9
64,0,531.4,1.9,59.9
65,0,530.7,1.9,60.0
66,0,530.5,1.9,60.1
67,0,529.8,1.9,60.2
68,0,529.1,1.9,60.3
69,0,527.6,1.9,60.4
70,0,526.0,1.9,60.4
71,0,526.5,1.9,60.5
72,0,526.4,1.9,60.5
73,0,527.1,1.9,60.6
74,0,527.1,1.9,60.6
75,0,526.9,1.9,60.7
76,0,526.2,1.9,60.8
77,0,525.4,1.9,60.8
78,0,524.0,1.9,60.9
79,0,523.9,1.9,60.9
80,0,524.3,1.9,60.9
81,0,525.1,1.9,60.9
82,0,524.2,1.9,61.0
83,0,524.4,1.9,61.1
84,0,525.9,1.9,61.0
85,0,527.1,1.9,61.0
86,0,527.4,1.9,61.1
87,0,527.7,1.9,61.1
88,0,528.1,1.9,61.2
89,0,529.9,1.9,61.2
90,0,529.5,1.9,61.3
91,0,537.8,1.9,61.0
92,0,536.1,1.9,61.0
93,0,537.2,1.9,61.0
94,0,530.5,1.9,61.1
95,0,529.0,1.9,61.1
96,0,528.4,1.9,61.1
97,0,529.9,1.9,61.1
98,0,530.6,1.9,61.1
99,0,532.1,1.9,61.1
100,0,533.0,1.9,61.1
101,0,533.6,1.9,61.2
102,0,534.1,1.9,61.2
103,0,534.1,1.9,61.2
104,0,534.4,1.9,61.3
105,0,533.9,1.9,61.3
106,0,534.2,1.9,61.3
107,0,534.7,1.9,61.3
108,0,535.3,1.9,61.3
109,0,537.3,1.9,61.3
110,0,537.8,1.9,61.3
111,0,538.6,1.9,61.3
112,0,538.4,1.9,61.4
113,0,538.4,1.9,61.4
114,0,536.8,1.9,61.4
115,0,537.0,1.9,61.5
116,0,537.3,1.9,61.5
117,0,537.5,1.9,61.5
118,0,534.2,1.9,61.6
